datetime,datetime,SOIL_MOISTURE_5_DAILY,SOIL_MOISTURE_20_DAILY,SOIL_MOISTURE_50_DAILY,LST_DATE,site
2022-01-19,1642600350.0,2882.300000000004,3101.035537190087,1527.2909090909125,2022-01-19,STEMNet-Bragg
2022-01-20,1642679850.0,3565.878819444448,3952.270486111114,3689.0100694444473,2022-01-20,STEMNet-Bragg
2022-01-21,1642766250.0,3469.2118055555584,3778.2145833333366,1675.3788194444473,2022-01-21,STEMNet-Bragg
2022-01-22,1642852650.0,3402.5329861111145,3674.085069444447,-368.72430555555263,2022-01-22,STEMNet-Bragg
2022-01-23,1642939050.0,3352.8520833333373,3610.72291666667,-294.58298611110837,2022-01-23,STEMNet-Bragg
2022-01-24,1643025360.6271777,3314.3449477351933,3568.1912891986094,813.0466898954734,2022-01-24,STEMNet-Bragg
2022-01-25,1643111850.0,3299.7854166666675,3547.7062500000047,816.3621527777808,2022-01-25,STEMNet-Bragg
2022-01-26,1643198113.5888503,3294.3756097561,3516.2571428571455,264.09790940766845,2022-01-26,STEMNet-Bragg
2022-01-27,1643279062.6556017,3360.9734439834065,3396.4796680497957,3331.16473029046,2022-01-27,STEMNet-Bragg
2022-01-28,1643371050.0,3287.900694444448,3286.5878472222257,3219.9090277777805,2022-01-28,STEMNet-Bragg
2022-01-29,1643457450.0,3268.3461805555603,3224.1239583333354,3000.5944444444476,2022-01-29,STEMNet-Bragg
2022-01-30,1643543850.0,3233.6593750000025,3177.621527777781,2774.4392361111145,2022-01-30,STEMNet-Bragg
2022-01-31,1643630250.0,3193.79027777778,3157.9979166666703,2693.111805555559,2022-01-31,STEMNet-Bragg
2022-02-01,1643716650.0,3173.82118055556,3145.0076388888915,2647.78402777778,2022-02-01,STEMNet-Bragg
2022-02-02,1643803050.0,3159.6562500000036,3143.0038194444473,2573.366319444448,2022-02-02,STEMNet-Bragg
2022-02-03,1643889450.0,3390.855555555558,3383.945833333337,3008.8170138888922,2022-02-03,STEMNet-Bragg
2022-02-04,1643973472.3880596,3582.661194029854,3706.8134328358237,4158.424626865675,2022-02-04,STEMNet-Bragg
2022-02-05,1644062250.0,3470.179166666669,3517.5798611111136,3617.1489583333364,2022-02-05,STEMNet-Bragg
2022-02-06,1644148650.0,3408.544444444448,3430.0336805555585,3307.24791666667,2022-02-06,STEMNet-Bragg
2022-02-07,1644234893.6842105,3366.8126315789523,3376.238947368425,3128.361754385969,2022-02-07,STEMNet-Bragg
2022-02-08,1644320861.2099645,3336.1758007117473,3335.3967971530283,3005.4533807829207,2022-02-08,STEMNet-Bragg
2022-02-09,1644407850.0,3303.654861111114,3294.0503472222254,2893.493750000002,2022-02-09,STEMNet-Bragg
2022-02-10,1644494250.0,3280.6454861111147,3255.6322916666704,2813.4791666666697,2022-02-10,STEMNet-Bragg
2022-02-11,1644580650.0,3254.1812500000037,3231.5173611111136,2736.7812500000027,2022-02-11,STEMNet-Bragg
2022-02-12,1644667050.0,3241.536458333336,3197.1760416666693,2642.947222222225,2022-02-12,STEMNet-Bragg
2022-02-13,1644753450.0,3224.1239583333354,3152.193750000003,2536.0538194444475,2022-02-13,STEMNet-Bragg
2022-02-14,1644839850.0,3190.4736111111138,3105.4149305555593,2421.352430555558,2022-02-14,STEMNet-Bragg
2022-02-15,1644926250.0,3161.3836805555593,3078.9506944444493,2336.2246527777816,2022-02-15,STEMNet-Bragg
2022-02-16,1645012650.0,3134.2975694444467,3056.0795138888916,2234.098958333336,2022-02-16,STEMNet-Bragg
2022-02-17,1645099050.0,3115.364930555558,3043.5038194444464,2117.8083333333366,2022-02-17,STEMNet-Bragg
2022-02-18,1645185450.0,3435.699652777781,3551.575694444447,3557.8635416666702,2022-02-18,STEMNet-Bragg
2022-02-19,1645271850.0,3423.123958333336,3435.215972222225,3197.9361111111143,2022-02-19,STEMNet-Bragg
2022-02-20,1645358250.0,3381.112847222226,3370.7482638888923,3013.584722222225,2022-02-20,STEMNet-Bragg
2022-02-21,1645444650.0,3328.1843750000025,3319.4781250000024,2855.4902777777806,2022-02-21,STEMNet-Bragg
2022-02-22,1645531050.0,3568.711805555559,3627.513541666669,3211.6173611111144,2022-02-22,STEMNet-Bragg
2022-02-23,1645617319.8606272,3953.2944250871105,4007.3087108013965,4484.2846689895505,2022-02-23,STEMNet-Bragg
2022-02-24,1645703911.1498258,3834.1024390243933,3808.7247386759605,4267.118118466902,2022-02-24,STEMNet-Bragg
2022-02-25,1645790369.6864111,3795.550522648087,3774.6104529616755,4260.877700348435,2022-02-25,STEMNet-Bragg
2022-02-26,1645876650.0,3683.8277777777807,3627.651736111114,4020.8149305555585,2022-02-26,STEMNet-Bragg
2022-02-27,1645963050.0,3873.292361111114,3966.9190972222254,4505.048263888892,2022-02-27,STEMNet-Bragg
2022-02-28,1646049450.0,3706.1461805555573,3608.995486111114,4081.1368055555586,2022-02-28,STEMNet-Bragg
2022-03-01,1646135850.0,3600.6347222222253,3517.096180555558,3666.4152777777804,2022-03-01,STEMNet-Bragg
2022-03-02,1646222250.0,3477.503472222225,3454.286805555558,3339.723611111114,2022-03-02,STEMNet-Bragg
2022-03-03,1646307280.4347825,3436.8260456521775,3404.5336090579744,3070.2786445652205,2022-03-03,STEMNet-Bragg
2022-03-04,1646395050.0,3416.7379239583365,3344.2635750000027,2826.861363888892,2022-03-04,STEMNet-Bragg
2022-03-05,1646481450.0,3387.207498611114,3281.186448263891,2553.7362822916702,2022-03-05,STEMNet-Bragg
2022-03-06,1646567850.0,3355.7509881944475,3218.8002937500028,2223.494745833337,2022-03-06,STEMNet-Bragg
2022-03-07,1646639550.0,3328.3370289473714,3180.5140684210555,1948.9653868421087,2022-03-07,STEMNet-Bragg
2022-03-08,,,,,2022-03-08,STEMNet-Bragg
2022-03-09,,,,,2022-03-09,STEMNet-Bragg
2022-03-10,,,,,2022-03-10,STEMNet-Bragg
2022-03-11,1647036450.0,3515.5053363636384,3489.2735181818202,3382.8198250000028,2022-03-11,STEMNet-Bragg
2022-03-12,1647086198.6013987,3500.1541562937095,3442.0197157342686,3666.2357989510515,2022-03-12,STEMNet-Bragg
2022-03-13,1647172650.0,3480.9551548611144,3427.154330208336,3743.726985069447,2022-03-13,STEMNet-Bragg
2022-03-14,1647259050.0,3449.8095819444475,3388.805371875003,3402.3829760416697,2022-03-14,STEMNet-Bragg
2022-03-15,1647345450.0,3418.810840625003,3350.715528125003,3086.102671527781,2022-03-15,STEMNet-Bragg
2022-03-16,1647431850.0,3662.6338631944473,3761.384711111114,4100.892530555558,2022-03-16,STEMNet-Bragg
2022-03-17,1647518250.0,3612.106795833336,3605.483896180558,3878.2044135416695,2022-03-17,STEMNet-Bragg
2022-03-18,1647604650.0,3613.084383333336,3636.9417194444472,3634.6190854166693,2022-03-18,STEMNet-Bragg
2022-03-19,1647691050.0,3623.5698177083364,3613.998885069447,3863.92029027778,2022-03-19,STEMNet-Bragg
2022-03-20,1647777450.0,3539.238800000003,3507.039356250003,3616.462408333336,2022-03-20,STEMNet-Bragg
2022-03-21,1647863850.0,3482.743045486114,3439.021778125003,3346.215571527781,2022-03-21,STEMNet-Bragg
2022-03-22,1647950250.0,3435.5496427083363,3352.8057190972254,2965.5567631944477,2022-03-22,STEMNet-Bragg
2022-03-23,1648036650.0,3955.993720833336,3939.452951388891,4383.673257986114,2022-03-23,STEMNet-Bragg
2022-03-24,1648123050.0,3669.283157986114,3614.59505590278,3893.9170527777806,2022-03-24,STEMNet-Bragg
2022-03-25,1648209450.0,3568.165937500003,3516.1774638888915,3577.678482986114,2022-03-25,STEMNet-Bragg
2022-03-26,1648295850.0,3509.293653125003,3439.0131409722253,3299.46266354167,2022-03-26,STEMNet-Bragg
2022-03-27,1648382250.0,3468.854503819448,3362.4793302083363,2981.318599652781,2022-03-27,STEMNet-Bragg
2022-03-28,1648468650.0,3421.8338440972248,3312.2715611111144,2673.99198229167,2022-03-28,STEMNet-Bragg
2022-03-29,1648555050.0,3382.7075420138917,3258.9371427083365,2335.1445250000033,2022-03-29,STEMNet-Bragg
2022-03-30,1648641450.0,3348.8844517361144,3237.4306322916696,1981.315615277782,2022-03-30,STEMNet-Bragg
2022-03-31,1648727850.0,3787.4698107638915,3658.831857638891,3601.971477083336,2022-03-31,STEMNet-Bragg
2022-04-01,1648814250.0,3669.377199305558,3553.465296180558,3494.9829965277804,2022-04-01,STEMNet-Bragg
2022-04-02,1648900650.0,3542.9958232638915,3487.2689135416695,3205.6452881944474,2022-04-02,STEMNet-Bragg
2022-04-03,1648987050.0,3497.29664791667,3425.729200000003,2925.3036927083363,2022-04-03,STEMNet-Bragg
2022-04-04,1649073450.0,3462.488922222225,3374.726812847225,2625.0020517361145,2022-04-04,STEMNet-Bragg
2022-04-05,1649159850.0,3441.086057638892,3351.397863194447,2393.7436680555593,2022-04-05,STEMNet-Bragg
2022-04-06,1649246148.0836236,3503.2230588850202,3405.655855052268,2671.918794773522,2022-04-06,STEMNet-Bragg
2022-04-07,1649332650.0,3515.115094097225,3425.9364916666696,2497.773336458337,2022-04-07,STEMNet-Bragg
2022-04-08,1649419050.0,3491.354286805559,3377.222950000003,2186.5702958333372,2022-04-08,STEMNet-Bragg
2022-04-09,1649505450.0,3458.403548958336,3315.9250767361136,1944.2708670138932,2022-04-09,STEMNet-Bragg
2022-04-10,1649591850.0,3437.527550694447,3287.949338888892,1665.908354166671,2022-04-10,STEMNet-Bragg
